date,so2_max_du,so2_mean_du,so2_15_du
2021-12-13,1.36298,0.216188,0.080405
2021-12-15,0.640011,-0.083137,0.0125372
2021-12-16,1.10901,0.0047745,0.0197432
2021-12-17,0.600548,-0.117887,0.00466775
2021-12-18,0.254154,-0.329992,0.000399822
2021-12-19,0.944445,0.130626,0.0570078
2021-12-20,2.43415,0.342567,-0.0326494
2021-12-22,1.36556,0.102149,0.0322066
2021-12-23,0.35152,-0.413323,-0.039031
2021-12-24,1.03292,0.187386,0.0711529
2021-12-25,2.21522,2.21522,-0.00798701
2021-12-26,0.581512,-0.139335,0.0280883
2021-12-27,0.734561,-0.0445872,-0.0172844
2021-12-28,0.457556,-0.289563,-0.0909763
2021-12-31,0.5208,-0.254042,-0.0375738
2022-01-02,0.643789,-0.223214,-0.0614675
2022-01-03,0.331578,-0.0581417,-0.0176018
2022-01-04,2.35731,0.100814,0.0110351
2022-01-05,1.01313,-0.153537,-0.0466414
2022-01-06,0.436855,-0.0202522,0.0239687
2022-01-07,0.480987,-0.124441,-0.0353695
2022-01-08,1.36228,0.307625,0.153595
2022-01-10,1.59686,0.221475,0.00606316
2022-01-11,1.14733,0.0767473,0.0531093
2022-01-12,1.69489,0.338198,0.0892111
2022-01-13,0.640156,-0.243495,-0.0180043
2022-01-14,0.68115,-0.203459,-0.0396421
2022-01-17,0.662757,0.068102,0.0642065
2022-01-21,1.02785,0.172137,0.0607408
2022-01-22,0.66302,0.188687,0.0406967
2022-01-23,2.2383,0.101261,0.0856247
2022-01-24,0.532612,0.0355515,0.0568793
2022-01-25,0.926763,0.0124455,-0.00787979
2022-01-26,0.536844,-0.0854838,-0.00480529
2022-01-27,1.05948,-0.108966,-0.0301375
2022-01-28,1.19623,0.0380737,0.014297
2022-01-29,0.245384,-0.344546,0.0175434
2022-01-30,0.721308,-0.238112,-0.022906
2022-01-31,0.37675,-0.246083,-0.0338268
2022-02-01,1.51752,0.0686421,0.0243472
2022-02-02,1.3079,0.248934,0.0980839
2022-02-03,3.73491,0.381194,0.0971463
2022-02-04,3.78045,1.08684,0.445845
2022-02-06,1.14964,0.159713,0.0532953
2022-02-07,1.00592,0.204418,0.05751
2022-02-09,0.41759,-0.216449,-0.029694
2022-02-11,1.84014,0.128848,0.0355536
2022-02-15,1.30106,-0.0200597,-0.036906
2022-02-16,3.61831,0.607819,0.0387026
2022-02-17,1.6512,0.691345,0.105659
2022-02-18,0.560989,0.560989,0.0917297
2022-02-19,0.66595,0.0679031,0.0701965
2022-02-20,1.26161,-0.000670493,0.00974672
2022-02-21,1.25873,0.0798643,0.021489
2022-02-22,1.26286,0.0645511,0.0193927
2022-02-23,0.925565,0.219899,0.0926781
2022-02-24,1.43942,-0.0421692,0.00606209
2022-02-26,0.533337,-0.0601991,-0.000289601
2022-02-28,0.729507,-0.168961,-0.00792642
2022-03-02,0.640922,-0.0555789,0.0168879
2022-03-03,0.765367,-0.00514029,-0.0125507
2022-03-06,0.296538,0.0831675,0.0037589
2022-03-08,0.401613,-0.177629,-0.00836297
2022-03-10,1.09469,-0.107544,-0.0364549
2022-03-11,0.690003,0.00956209,0.0368498
2022-03-12,0.591778,-0.120622,-0.00441202
2022-03-13,0.695599,-0.0743906,-0.0262462
2022-03-14,1.4868,0.281201,0.106677
2022-03-16,1.34013,-0.0113666,-0.00304429
2022-03-17,3.16763,0.533644,0.11966
2022-03-18,0.15902,0.15902,-0.00426717
2022-03-19,0.653282,-0.0463651,-0.0149319
2022-03-20,0.779962,0.0221172,0.0489073
2022-03-21,0.779808,-0.031233,-0.017433
2022-03-22,0.707977,0.0699663,0.0692527
2022-03-23,0.703638,-0.185265,0.043184
2022-03-24,5.46329,0.856412,0.394629
2022-03-25,1.539,0.555383,0.144279
2022-03-27,0.623518,0.123644,0.0675562
2022-03-28,1.57907,-0.0289201,0.0475548
2022-03-29,1.52011,0.149509,0.0597685
2022-03-30,1.15747,0.234921,0.068758
2022-03-31,0.882296,0.179366,0.0305585
2022-04-01,0.4389,-0.0156938,0.0611348
2022-04-02,0.503841,0.00147192,0.00577973
2022-04-04,0.837108,0.144519,0.0840114
2022-04-05,1.46668,0.0797659,0.0430284
2022-04-06,0.539934,0.0753612,0.0375661
2022-04-07,0.541652,-0.178754,-0.00774211
2022-04-08,0.172643,0.011903,0.0130337
2022-04-09,0.796968,0.0973307,0.0525953
2022-04-10,1.00269,0.206046,0.0706463
2022-04-11,0.753308,-0.0107464,-0.00151651
2022-04-12,0.721776,-0.154095,-0.0580732
2022-04-13,0.952074,0.2096,0.0768836
