latitude,longitude,frp,bright_ti4,ts
-6.11135,105.4449,1.6,306.01,2026-09-06 01:36
-6.1138,105.43473,4.74,308.37,2026-09-06 01:36
-6.10153,105.43152,1.88,315.32,2026-09-06 01:36
-6.1068,105.44068,1.6,310.31,2026-09-06 01:36
-6.0991,105.44184,1.63,304.1,2026-09-06 01:36
-6.10081,105.42661,1.37,305.76,2026-09-06 01:36
-6.09769,105.43213,1.88,306.56,2026-09-06 01:36
-6.09699,105.42732,1.37,306.54,2026-09-06 01:36
-6.0984,105.43706,1.88,305.72,2026-09-06 01:36
-6.11666,105.46481,0.93,299.19,2026-09-06 02:15
-6.11605,105.46058,1.05,300.76,2026-09-06 02:15
-6.11544,105.45634,1.05,301.21,2026-09-06 02:15
-6.11483,105.45212,0.98,301.08,2026-09-06 02:15
-6.11422,105.44788,0.98,298.01,2026-09-06 02:15
-6.11137,105.46988,0.93,298.41,2026-09-06 02:15
-6.11076,105.46564,0.93,299.99,2026-09-06 02:15
-6.11015,105.4614,1.05,300.58,2026-09-06 02:15
-6.10954,105.45718,1.05,300.74,2026-09-06 02:15
-6.10893,105.45293,0.98,299.73,2026-09-06 02:15
-6.11727,105.46905,0.93,298.12,2026-09-06 02:15
-6.10362,105.4579,1.48,297.49,2026-09-06 02:15
-6.10424,105.46224,1.48,298.93,2026-09-06 02:15
-6.10169,105.41798,18.65,346.46,2026-09-06 12:33
-6.10658,105.42197,29.4,367.0,2026-09-06 12:33
-6.10882,105.41808,18.65,334.91,2026-09-06 12:33
-6.09777,105.41885,8.16,333.16,2026-09-07 00:34
-6.1023,105.41285,11.38,327.82,2026-09-07 00:34
-6.10319,105.41031,6.06,306.33,2026-09-07 00:34
-6.1037,105.42055,11.38,345.74,2026-09-07 00:34
-6.10457,105.41759,8.16,348.41,2026-09-07 00:34
-6.10578,105.42403,8.16,306.91,2026-09-07 00:34
-6.0964,105.41161,6.06,304.12,2026-09-07 00:34
-6.11027,105.41756,8.32,311.81,2026-09-07 01:17
-6.10696,105.41808,8.32,354.4,2026-09-07 01:17
-6.09773,105.41676,10.25,317.82,2026-09-07 01:53
-6.11109,105.41879,12.4,311.95,2026-09-07 01:53
-6.10801,105.42737,4.92,314.5,2026-09-07 01:53
-6.10737,105.42304,12.4,354.61,2026-09-07 01:53
-6.11168,105.42274,12.4,316.96,2026-09-07 01:53
-6.10625,105.4155,9.52,329.29,2026-09-07 01:53
-6.10369,105.42762,9.94,331.31,2026-09-07 01:53
-6.10195,105.41586,10.25,341.3,2026-09-07 01:53
-6.10678,105.4191,12.4,367.0,2026-09-07 01:53
-6.10008,105.41827,6.22,310.86,2026-09-07 02:13
-6.10075,105.42321,7.1,343.35,2026-09-07 02:13
-6.10155,105.42915,7.1,305.78,2026-09-07 02:13
-6.10172,105.42438,6.59,334.54,2026-09-07 02:13
-6.10596,105.41254,6.22,309.82,2026-09-07 02:13
-6.10664,105.41754,6.22,332.63,2026-09-07 02:13
-6.10686,105.41367,7.55,323.38,2026-09-07 02:13
-6.10732,105.42262,7.1,324.74,2026-09-07 02:13
-6.10753,105.4184,6.59,332.43,2026-09-07 02:13
-6.10833,105.42404,6.59,309.89,2026-09-07 02:13
-6.10097,105.41908,6.59,333.48,2026-09-07 02:13
-6.10697,105.42262,17.02,353.51,2026-09-07 12:53
-6.10532,105.42039,24.49,351.4,2026-09-07 13:10
-6.10953,105.42068,8.2,349.41,2026-09-07 13:10
-6.10898,105.42448,8.2,344.28,2026-09-07 13:10
-6.10477,105.42418,24.49,367.0,2026-09-07 13:10
-6.10991,105.42175,7.84,333.76,2026-09-08 00:58
-6.10928,105.41806,5.89,317.71,2026-09-08 00:58
-6.10527,105.41906,7.48,347.39,2026-09-08 00:58
-6.10458,105.41499,7.48,315.63,2026-09-08 00:58
-6.10119,105.41967,7.48,324.4,2026-09-08 00:58
-6.10152,105.42251,12.13,335.5,2026-09-08 12:53
-6.10734,105.423,12.13,356.27,2026-09-08 12:53
-6.10554,105.42169,9.0,367.0,2026-09-08 14:14
-6.105,105.42484,9.77,348.36,2026-09-08 14:14
-6.10086,105.4181,9.0,367.0,2026-09-08 14:14
-6.10038,105.42091,9.0,341.14,2026-09-08 14:14
-6.09984,105.42404,9.77,339.1,2026-09-08 14:14
-6.10603,105.4188,9.0,341.94,2026-09-08 14:14
-6.10545,105.41604,5.69,313.02,2026-09-09 00:41
-6.10382,105.41782,6.81,325.54,2026-09-09 00:41
